,Name,Title,Body,Stars
61,Ashley C,Adults loved them,"Gave these to my coworkers for the holidays.  They become unusable very quickly when played with consistently.  We got 2-3 days of continuous use.  Do not leave sticky residue on hands or surface.  It was worth it.  We all enjoyed them.  Only complaint was how quickly they ""died"" and the odd smell",4.0
62,Daniela Anet,Meh,"They’re what’s advertised except that the slime was old and close to being completely dry.  The slime was not stretchy and slimy like slime is supposed to be. However, my daughter is only three so she didn’t really care, all she does with slime is mix and squish and use it like pretend food and these were good enough for her. But there would have been a lot of disappointed kids had I used this as party treats",3.0
63,Becky,Awesome Product!  Highly recommend!,Excellent product!!!!!!!  My son gave these out in his party bags at school.  Item was boxed nicely and each slime was sealed which was even better for the schools rules with covid!  My kids loved playing with the slime!  Colors were beautiful!!  I will definitely order this product for additional parties etc!,5.0
64,Amazon Customer,Not slime,"The media could not be loaded.




 If I could give negative stars I would.  It’s not slime at all, it’s more of a play-dough consistency. It tears apart instead of stretching like slime. Extremely disappointed with this purchase.",1.0
65,Akaisaru7,Small cups,"The cups are really small, but for the price, worth it for party favors.",4.0
66,Oscar Arias,Poor quality,I received slime that was drying out and not stretchy at all. The liquid was leaking out of some of the plastic balls. Would not buy again.,1.0
67,Jess S.,Love the clear slime but hate the ball container,"The media could not be loaded.




 There were 6 clear slime balls in the set, and surprisingly my daughter likes the clear ones more than Galaxy balls. They are so cute to have little figures and fruits confetti inside. My daughter spent quite a long time playing with them. However, I found the clear slime is more watery or liquid than regular ones, so very easy to get sticky on hands. And the ball container is the weak part. It's made of cheap plastic and super easy to get cracked. Once the container got cracked, the slime became dry quickly.",3.0
68,Iris Blume,Perfect for my students,I gave these out to my students in the class prize box. They were definitely a favorite.,5.0
69,Rebeccah,Great value,Great value for end of year third grade gift bags,4.0
70,Jessica Reime,Awful,I bought these for my students and I am so disappointed I wasted my money on these. The texture is weird and watery. It doesn't recombine or combine with the others it came with. I seriously regret buying this garbage.,1.0
71,Amazon Customer,Awesome price awesome product!,"I cannot rave enough about these! I used them in my sons favor bags for his birthday. They are about the size of a golf ball. The slime doesn’t stick to anything ESPECIALLY carpet or hair. If it is left out, it does harden, which is fine because in my opinion he should have taken better care of it!! The box came with a few that had little trinkets in the slime which was really cool!!",5.0
72,Lynn Rich,Not too sticky!!,This Slime is awesome! The kids loved it and it was individually sealed so you don’t have to worry about it going bad if you don’t use it quickly! It wasn’t too sticky like some slime can be! It did start to come apart a little after the kids played with it for awhile but that’s to b expected!,5.0
73,Tyiesha Sempa,Great little bouncy slime balls,"I cringe at the idea of slime, but with three daughters ranging from ages 3 to 8, it is almost unavoidable. What I like about this slime is the texture. It can change shapes but isn’t slimy and sticky where it gets stuck on fabric, clothes or carpet. The sphere container it comes in is reusable for easy storage. I gave them away as part of the grab bag goodies for my daughters’ birthday.",5.0
74,Jenny,Great Easter egg stuffers!,"The kids loved finding slime in the Easter eggs. There was a good mix of different colors.  As a mom, I appreciate that the ball stays closed and doesn't leak slime on my furniture 😊",5.0
75,Frank Ome,Cute little slime balls.,Really nice balls of slime. I love that it comes with some clear slimes with decorations in them. These would be perfect as party favors.The slime does have to be worked a bit more than other slime to become a more slime-like consistency.,4.0
76,CGC,It was a hit.,"All parents cringed when they saw these little slimes in the gift boxes at my son’s birthday party, but thanksfully they were pleased that they were not sticky or messy at all.",5.0
77,Shelly velazquez,"Teachers, parents… Do not buy these!!!","It falls apart in your hands it’s not stretchy at all it’s crumbly and it smells like chemicals, the most horrible slime I have ever purchased for my students. Do not waste your money!",1.0
78,April Wilkerson,Kids loved it,These are small little slimes but they were perfect for my elementary schooler. The color is beautiful as shimmery and they do not smell weird like other slimes which is great.,5.0
79,Good,Good quality,"Good quality for the kids. After they played with it, they could put it back in the ball and it turn right back to the original shape!!",5.0
80,lizzerdking77,Great value,"Great value for the money,",4.0
81,Graceyolanda,Great party favor,Got these to add to my daughters goody bags. We opened one right away and the slim was perfect. My daughter said it feels so nice and it does. Also feels like non messy too which is great !,5.0
82,Katrina,Garbage,Bought this for kids party bags and they are trash. They are super watery and come apart in to a million little pieces . Had to clean it multiple times off tables and floor.Would not recommend or buy again.,1.0
83,April Robles,Good quality - as described,Well packaged.  None were leaking or damaged - all tightly closed with plastic seal.  Good variety for boys and girls. My daughter gave these as a stocking stuffer to her 2nd grade class.  They were well liked.,4.0
84,Martisha B Lanuza,Compact,It came in a nice sturdy box and very neat for the kids,5.0
85,Brandon Michael Wininger,Consistency better than slime,Purchased for birthday party gift bags. The slime is a thicker consistency than most ‘slime.’ Each ball was wrapped in plastic and hard to remove but the slime itself was great for all ages. 3-13,5.0
86,Charles Hagan,All Slime Should Be Banned,Forget all about slime.,4.0
87,G. Ferrell,Doesn't work!,Not stretchy like in the video. The majority does not stretch. You'd have to go through each one to find one that actually resembles slim.,1.0
88,JL,Crumbly!! Do not buy,Slime is crumbly and not like what is advertised.,1.0
89,Merline,Good,Great gifts for kids,4.0
90,Tabitha Thompson,Not Slimy,It's like play doh. Wasn't slimy like i expected.,1.0
91,Kindle Customer,"There are only 20 galaxy balls and 4 ""charm"" balls not safe for younger children",I was a little disappointed because I thought there were 24 galaxy glitter balls. There are 20 included and 4 that are clear with tiny charms inside. I lucked out because we only needed 20 but if I had needed 24 I would have been out of luck. The charms inside the clear balls were so small they would pose a safety hazard for young kids.,3.0
92,Ashlee McLoughlin,Keeps kids occupied with fun!,"Love this slime!  I bought it to give out to my son’s class. It’s not messy or sticky, so it’s an easy clean up!  Leaves my boys occupied for a while. I definitely recommend this slime!",5.0
93,Wilma,small,much smaller than I expected.,4.0
94,Kathleen G.,Does not do what videos and pictures show,"Find a better slime, this does not act like slime. It’s a stiff non-stretch cold puddy. Doesn’t “pour” or stretch like real slime. Very pretty looking? But such a waste—would have returned but I packed them all up for birthday party favors and didn’t know until my son opened one later.",1.0
95,Rizza Ray,Water not slime,"The media could not be loaded.




 Got this for my sons party favors and more than half are liquid, not even slime. You open and it just pours out like water.. super disappointed",1.0
96,Ystroud,Great Slimy Fun,"I used the slime during my summer camp. It was easy to handle and wasn't sticky. This made for good, clean fun for the kids.",5.0
97,AThane,Nice gifts for treat bags,"Love that it’s not sticky, but it does tear apart way too easily. Was hoping it would be a little like silly putty, but still awesome.",5.0
98,BTrinh,Safety concern!,"What initially was entertaining for my daughter, turned out to be a safety concern. The slime somehow melted into her blanket and ended in her hair. It took a while to clean out. Also the small pieces in the slime resembled candies which can easily be removed from the slime and potentially be mistaken and swallowed. Definitely be cautious. Would not buy again.",1.0
99,Marydale Farm,"Not your average gross sticky slime, smells great",This slime is great. It doesn’t stick to other stuff and get nasty. And surprisingly smelled awesome as well. I Bought them as party favors and got another box for Christmas just to have on hand.,5.0
100,Amazon Customer,My kids love it,My kids love it but is slight messy for me to clean.  You know what you are buying. This really isn’t a surprise.,5.0
101,Amazon Customer,Defective! Waste of money!: Update wait! You have to warm it up a little,"The media could not be loaded.




 This slime is not slimy does not stretch it’s very stiff and rips apart I do not recommend this product at all! Update: after heating the slime it stretched again. I think this slime is just too cold. It’s not the greatest but i think after it warms up to the air in a warm room it melts better.",3.0
102,Jessica at Cracking the Cover,short-lived novelty,"I purchased these for a space birthday party. While cute, the tubs are tiny. The entire thing of slime easily fit in my 6-year-old's hand. The kids thought it was cool — it feels awesome — but were soon asking what they were supposed to do with it. It's a fun novelty, but doesn't have the longevity of playdough or some of the other sculpting products. It is very easy to clean up, which is a plus.",3.0
103,Gayla coleman,Product is amazing,I wasn't sure at first if this slime would be a good present for my 3yr old daughter because alot of slimes are very sticky and messy but surprisingly this slime isn't its super easy to clean up and the colors are very pretty and it's cool to the touch,5.0
104,Amazon Customer,Great for kid prizes.,Supper fast shipping. I ordered it to give out as prizes to children in our church kids program.,5.0
105,Pinky,Great!,My grandson loves this stuff and this one made him so happy.  I recommend,5.0
106,Pamela R. Evans,Sticky Party Gift,"This sticky party gift was bought for the kids. You can stretch and pull the mucus by squeezing, and it's very depressurized. Non sticky mucus, super elastic, soft, non-toxic, safe, can let children rest assured to play. It's worth buying.",5.0
107,granny b,"Galaxy Slime, Party Favor for Kids Girls & Boys was Sticky and created Stress & Anxiety for me.","I didn't like the slime party favor.  It looked cute and my girls love to play with slime.  but Galaxy Slime, Party Favor for Kids Girls & Boys was watery, a loose puddle they could not play with.",1.0
108,liby tomy,Super,N/a,4.0
109,jinchermellia,loved it,"This was perfect, it was for my sons birthday party and the kids loved it. it wasnt as messy as most slime which is what I love most about it.",4.0
110,rachel,Great product,"My kids like playing with this slime. I like it because it isn’t a gooey mess. Almost like putty, but stretchier and softer/more moist. Cool colors too.",5.0
111,Zen In The Making,Great product! I was pleasantly surprised!,"I had very low expectations and ended up being really impressed! These were for my daughters birthday party goodie bags. Each slime has some sort of theme, is not sticky and the balls hold the slime again after opened (which I didn’t expect). The slime isn’t sticky or runny...good stuff for the right price!",5.0
112,alex keener,Wasn’t very slimy,Very rubbery and hard. Cute but not slime material.,1.0
113,Luckyshoes,Not exactly 24 galaxy colors.,"Love the galaxy colors. Great for boys and girls. Problem is the box and Amazon both say it's a 24 pack. It is, but inside box there are only 18 galaxy slime and 6 solid girly color ones with little ducks and pearls inside. 24 galaxy pack should be 24 galaxy slime balls, not 18. I'm going to have to make sure the girls only receive the 6 that are not galaxy colors. Frustrating.",3.0
114,evans awoshie,Bring Endless Fun,"This sticky, soft, moist Galaxy mucus is of good quality and doesn't smell bad. It can let children experience the fun of mixing, matching and color changing, and bring endless fun and experience for children. It's worth buying.",5.0
115,Amazon Customer,Pretty nice slime.,"Several typos on the box really scared me, but this is actually pretty decent slime-not terribly messy! The packs are sort of small though.",4.0
116,Deedee,I guess,"Very cute but one came broken. Also, one row was random slime which was not cool cause I needed for all of them to be galaxy themed /:",3.0
117,Jen,Hard pass,"The product is tiny! I didn't realize it was so small until it arrived. It also doesn't stretch at all, it break apart, definitely pass on this one.",1.0
118,ProfeRoeder,Small but perfect for class valentines!,"I bought them for my son's class and my advisory (I'm a teacher) for Valentine's-- they are super tiny (about a quarter's width and only a tiny glob of slime, but perfect for what i was using it for! The high schoolers in my advisory loved them!",5.0
119,Danielle G,Awesome!!,Bought for my great nephew and he loved it.,5.0
120,Christina,Easy Valentines for class!,"Ordered this slime for Valentine gifts for our kids classes. I’m tired of trying to come up with cute ideas. My kids are 7 and 11 and love slime, so why not gift it to their friends! My daughter loves the galaxy colors! Valentines is easy and done this year!",5.0
121,MCabral,Slimy :),Used these for Easter gift baskets and they were a hit - no complains.,5.0
122,"Lori, Silver Spring",Great Slime,I like the colors and that there are many of them. This is a gift for my granddaughter and she hasn't received them yet so I am sure she will be pleased and very surprised.,5.0
123,Elizabeth,Not great,"Theyre for a birthday party coming up, I let my daughter open a couple up to play with since there are extras. The slime wasn’t very plyable and just broke into chunks. It was also watery, like there was water all over it when she opened it. I told her to play with it a bit maybe it just needed to be worked a bit. That did not help either, hoping all of them aren’t a complete loss. Won’t purchase again in the future.",2.0
124,Julie Garcia ,Happy with my purchase,"Good price for the number of slime balls in the package. Package is also very pretty and inside the slime balls are well organized. I am going to use them to put inside goody bags for my sons party. I am sure the kids will love how vibrant the color of the slime is. Overall, I am satisfied with my purchase.",5.0
125,Mandina,Lid is resealable.,"The color mixes were not all the same, which was good. Kids loved them and adults did too. A parent asked if we had extras because they wanted one to play with.",5.0
126,Susan S,Not messy!,It was perfect for my daughters 8th birthday. I liked that it wasn’t runny.,5.0
127,sunny p,Good to g goodies bag,I ordered for my girl's birthday and they loved it.Package is good and each slime has different cute things in it!,4.0
128,Michelle cahow,Missing one,The slime breaks apart to easily and I was missing one when packages arrived. Kids don’t seem to mind it but I won’t be buying this again.,4.0
129,Rebekah Blackmon,Great quality and the prettiest slime I've seen!,Great quality and the prettiest slime I've seen! Kids (and adults) loved it at the birthday party!,5.0
130,Susan Casillas,Not slime…just a rip off,"The media could not be loaded.




 So watery!!!  Was a gift for my students and they can’t play with it.",1.0
131,Kelly,Not Great,"The slime is watery on the outside and doesn’t stretch like regular slime, but breaks apart instead. Cheaply made, but you get what you pay for...",3.0
132,Tony$now,Fun .,Kids loved them i do aswell lol..,5.0
133,graceooh,"Great colors, not all the same",Each one came in a plastic ball case.  Not all looked like planets.  Some were a clear like color with random plastic fruit pieces inside.  They looked very nice and has a nice putty feel to it. Not too slimy and not sticky.  My kids loved it.,5.0
134,Jennifer D,This slime sucks and doesn’t even stretch,"Very disappointed in this product. It did not stretch at all. It did smell pretty good, not like chemicals like the other manufactured slimes. But it did not stretch at all.  I checked all of them and all of them were exactly the same. It was very disappointing because although the product is for children, I have adult autism and I use those slimes as a stemming toy. I do not recommend this product other than maybe children’s birthday Favors although the children would probably not enjoy  what they’re playing with because like I said it does not stretch, it breaks as soon as you try to stretch it.",1.0
135,MarCb,Cute slime,"It's good, just that it is pretty hard to stretch but it's ok. My 10 years old  love it.",4.0
136,Nae,I recomend it!,Best slime. My daughter was amazed and the little guests too.,5.0
137,Melly,Cute favors,Used them for classroom stocking stuffers.  The kids loved them and my daughter was proud to pass them out.  She asked us to purchase them again for her birthday favor bags. They came quickly and were very well packaged.,5.0
138,Ella,Great For Treasure Box,The students in my class are all ways crazy for slime! I got this for treasure box! They can never get enough!,5.0
139,Alex,Smaller then anticipated,"Great slime, live the colors...slime is so small, comes in a very small container.  Marketing is misleading",2.0
140,Nancy,My kid loves slime,Got these to add to my kids goody bag. She insisted that we give out slime for her birthday. They came nicely packed in a box. Each slime was contained in a plastic ball. The kids were excited to receive these. Not extra sticky and didn't get stuck to everything.,5.0
141,Kirsten,"Filled in with other types of slime, not as shown","I would have given this 5 stars because the slime is really cool looking BUT 6 out of the 24 were not the “space” looking slime. 6 of them were solid/clear colors with little pieces of confetti in them. Ok, but not what I ordered. It was for a boys bday party so rubber ducky confetti slime was a little disappointing to the birthday boy",3.0
142,Frugalliving,This is a concept of slime but not quite slime,"The media could not be loaded.




 I hate when I feel like I have wasted my hard earned money. This is not what one expects when one orders slime. It is just breaking into clumps when you pull as normal. Sometimes it stretches if you are super gentle. Ridiculous!!! Very disappointed as these are expensive favors for my kid's birthday. Consumers deserve products that work as advertised otherwise your product is just deliberately dishonest. Amazon do better!!!The little beads inside are not necessary. Annoying even. The kids just picked them out before playing with the slime.",1.0
143,Prapti ,Great for birthday goodies bags,"The media could not be loaded.




 Very small amount, good for birthday party goodies bags.",5.0
144,TheBaskinWay,Great and Clean Slime,Great slime. Cool color combinations and not messy like other slime types.,5.0
145,MommaBear0915,Worth the wait!,Ordered this for an end of the year gift. Waited almost 2 weeks for it to finally ship. Was no disappointed! The presentation was beautiful! My daughter picked the first one out of the box and the slime itself didn’t have a residue and was great for play. Would order again!,5.0
146,Tim G,Great product!,Great for pinata stuffers. Great quality amd packaging - was a huge hit for kids of all ages.,5.0
147,Gail F.,Slime is Slime - It's wet and gooey!,Bought this for some birthday party favor bags.  The consistency is similar to $ Tree slime.  Some reviewers had issues where some of the containers spilled during shipment.  Mine came perfect... which is good because I need all 24! HA!,5.0
148,JL,So cute!!!,Great size for child Goodie bags,5.0
149,T,Not sticky very easy clean up,these were a valentines day pass out. Just the right size and sealed ip very well so the kiddos could transport them home in their backpacks without worry of them opening.,5.0
150,hockeydamage,VERY STICKY,I purchased this because it specifically said that the slime was not sticky. This is incorrect. It was extremely sticky. My kids couldn’t even play with it because it just got stuck all over their hands.,1.0
151,Elaine,Great birthday party,Great birthday party gift bag items,5.0
152,Shana,They are little,Used as a party favor figure all kids lik slim nice & tiny fit right n gift bag,5.0
153,Amazon Customer,"Slime, slime everywhere",Great party gift. Kids loved the cosmic swirl of colors,5.0
154,Acadmically Dedicated,Excellent buy.,"These went into my classroom treasure box and were a huge hit immediately gone with my third greatest. Good quality, intense and no transfer color. The spherical shape of the container is unique and enjoyed by the students as well.",5.0
155,joseph l. santagata,Great gift idea!,"It's a great deal, and the stuff inside is soft and doesn't stick to your hands.It used to be valuable to buy in the supermarket",5.0
156,Robyn Flint,"Way, way, way smaller than I thought.","Way, way smaller than I thought they’d be. For those not spatially inclined, here’s a picture to help you out. From the pictures in the advertising, I really thought they’d be bigger. Otherwise, it’s slime.",3.0
157,Bridgett ,Just OK,Got these for my daughters class. They were a cute but were not all stretchy like the girl in the ad pics made it look. They pulled apart in chuncks and you could play with pieces like it was a little dry. Color and glitter were pretty.,3.0
158,jessica roberts,Truck or treat win!,"gave these out to trick or treaters in my neighborhood and kids loved them! Only thought would be to have individual labels on them, adults thought they were bath bombs and several kinds thought they were bouncy balls!",5.0
159,Amazon Customer,Easter egg substitution,"These were a hit as Easter eggs this year for my 14, 9, and 7 year olds! With everything di crazy I love that these brought hours of joy.",5.0
160,Victogenia,Ok but small,"Ok item, but they are very small",3.0
161,Amazon Customer,BE CAREFUL OF THE HEAT,"YOU NEED TO PACKAGE ACCORDING TO THE HEAT OF AZ. THEY WERE SO WATERY YOU COULDN'T PLAY WITH THEM. THE KIDS WERE SAD BECAUSE REALLY COOL COLORS, BUT WAY TO SOFT TO DO ANYTHING.",3.0
162,Tyesha bonner,Not really good slime,My students love it.but when they plays with the warmth of their hands melts it and it sticks to the table,3.0
163,DJ W,TINY!!!,"Maybe I didn’t read the info close enough but these are TINY! My 10 year old is happy with them, but I think they’re almost too small to be worth getting. Pic attached to show just how small....basically the size of the tip/top of my finger.",3.0
164,Melanie Mehrabi,Horrible stuff,"Half of them were okay, the other half were the consistency of water. Spilled everywhere.",1.0
